GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
prototype,com.app.utils,PasswordEncryption,6,0,0,0,2,0,2,0,2,0
prototype,com.app.utils,InscriptionUtils,3,37,0,6,1,11,1,6,1,3
prototype,com.app.utils,ReponseApi.ResultatTravaux,10,0,0,0,4,0,3,0,3,0
prototype,com.app.utils,ReponseApi.ResultatEntraves,10,0,0,0,4,0,3,0,3,0
prototype,com.app.utils,ReponseApi,17,0,0,0,7,0,5,0,5,0
prototype,com.app.utils,PostalCodeMapping,10,89,3,5,4,23,3,4,0,3
prototype,com.app.utils,AgeFinder,20,109,4,12,5,22,5,5,1,1
prototype,com.app.utils,RegexChecker,9,18,0,0,3,6,2,3,2,3
prototype,com.app.utils,GenerateurId,3,3,0,0,1,1,1,1,1,1
prototype,com.app.controllers,RequeteTravailController.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
prototype,com.app.controllers,NotificationsController.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
prototype,com.app.controllers,ConsulterEntravesController,233,0,31,0,56,0,25,0,9,0
prototype,com.app.controllers,NotificationsController.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
prototype,com.app.controllers,ConsulterTravauxController,338,0,46,0,76,0,38,0,14,0
prototype,com.app.controllers,NotificationsController,573,0,30,0,147,0,27,0,12,0
prototype,com.app.controllers,RequeteTravailController.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
prototype,com.app.controllers,UserController,320,39,10,0,58,8,12,4,7,4
prototype,com.app.controllers,ProjetController,597,0,36,0,142,0,32,0,14,0
prototype,com.app.controllers,PreferenceHoraireController.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
prototype,com.app.controllers,PreferenceHoraireController,601,0,44,0,137,0,35,0,13,0
prototype,com.app.controllers,ProjetController.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
prototype,com.app.controllers,ProjetController.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
prototype,com.app.controllers,RequeteTravailController,471,199,28,8,129,37,26,7,10,5
prototype,com.app.controllers,CandidatureController,756,0,34,0,172,0,32,0,15,0
prototype,com.app.models.User,Intervenant,74,0,0,0,29,0,7,0,7,0
prototype,com.app.models.User,User,45,0,0,0,19,0,13,0,13,0
prototype,com.app.models.User,Resident,128,0,4,0,49,0,17,0,15,0
prototype,com.app,Main,28,0,0,0,12,0,2,0,2,0
prototype,com.app,MongoDBConnection,4,11,0,0,2,5,1,2,1,2
prototype,com.app.models,Projet,130,0,2,0,45,0,24,0,23,0
prototype,com.app.models,Notification,48,0,0,0,16,0,7,0,7,0
prototype,com.app.models,Candidature,119,0,0,0,39,0,16,0,16,0
prototype,com.app.models,RequeteTravail,23,52,0,0,11,18,6,9,6,9
prototype,com.app.models,Travail,105,0,0,0,35,0,35,0,35,0
prototype,com.app.models,Entrave,63,0,0,0,21,0,21,0,21,0
prototype,com.app.models,PreferenceHoraire,83,0,12,0,23,0,16,0,10,0
prototype,com.app.pages,AccountPage,342,0,42,0,98,0,29,0,6,0
prototype,com.app.pages,PageRedirect,113,0,30,0,46,0,22,0,2,0
prototype,com.app.pages,LoginPage,184,25,16,2,52,8,10,2,1,2
prototype,com.app.pages,ConsulterRequetesTravailPage,633,0,86,0,183,0,50,0,4,0
prototype,com.app.pages,CandidaturePage,599,0,81,0,167,0,50,0,6,0
prototype,com.app.pages,ConsulterTravauxPage,355,0,44,0,118,0,28,0,2,0
prototype,com.app.pages,SoumettreRequeteTravailPage,74,0,6,0,23,0,5,0,2,0
prototype,com.app.pages,InscriptionPage,389,0,62,0,117,0,35,0,3,0
prototype,com.app.pages,MainMenuPage,140,0,17,0,48,0,18,0,5,0
prototype,com.app.pages,ConsulterEntravesPage,204,0,30,0,69,0,19,0,2,0
prototype,com.app.pages,ProjetPage,563,0,72,0,153,0,42,0,5,0
prototype,com.app.pages,ConsulterNotificationPage,92,0,8,0,23,0,8,0,4,0
